[2023-12-11 13:47:40] Order id: 1 | status: NotTaken	|
[2023-12-11 13:47:40] Order id: 1 | status: Procesing	|
[2023-12-11 13:47:45] Order id: 2 | status: NotTaken	|
[2023-12-11 13:47:45] Order id: 2 | status: Procesing	|
[2023-12-11 13:47:50] Order id: 3 | status: NotTaken	|
[2023-12-11 13:47:50] Order id: 3 | status: Procesing	|
[2023-12-11 13:47:53] Order id: 1 | status: Completed	|
[2023-12-11 13:47:55] Order id: 4 | status: NotTaken	|
[2023-12-11 13:47:55] Order id: 4 | status: Procesing	|
[2023-12-11 13:48:00] Order id: 5 | status: NotTaken	|
[2023-12-11 13:48:00] Order id: 5 | status: Procesing	|
[2023-12-11 13:48:05] Order id: 6 | status: NotTaken	|
[2023-12-11 13:48:05] Order id: 6 | status: Procesing	|
[2023-12-11 13:48:05] Order id: 2 | status: Completed	|
[2023-12-11 13:48:10] Order id: 7 | status: NotTaken	|
[2023-12-11 13:48:10] Order id: 7 | status: Procesing	|
[2023-12-11 13:48:12] Order id: 3 | status: Completed	|
[2023-12-11 13:48:15] Order id: 8 | status: NotTaken	|
[2023-12-11 13:48:15] Order id: 8 | status: Procesing	|
[2023-12-11 13:48:20] Order id: 9 | status: NotTaken	|
[2023-12-11 13:48:20] Order id: 9 | status: Procesing	|
[2023-12-11 13:48:25] Order id: 10 | status: NotTaken	|
[2023-12-11 13:48:25] Order id: 10 | status: Procesing	|
[2023-12-11 16:38:21] Order id: 1	| status: NotTaken	|
[2023-12-11 16:38:21] Order id: 1	| status: Procesing	|
[2023-12-11 16:38:26] Order id: 2	| status: NotTaken	|
[2023-12-11 16:38:26] Order id: 2	| status: Procesing	|
[2023-12-11 16:38:31] Order id: 3	| status: NotTaken	|
[2023-12-11 16:38:31] Order id: 3	| status: Procesing	|
[2023-12-11 16:38:34] Order id: 1	| status: Completed	|
[2023-12-11 16:38:36] Order id: 4	| status: NotTaken	|
[2023-12-11 16:38:36] Order id: 4	| status: Procesing	|
[2023-12-11 16:38:41] Order id: 5	| status: NotTaken	|
[2023-12-11 16:38:41] Order id: 5	| status: Procesing	|
[2023-12-11 16:38:46] Order id: 6	| status: NotTaken	|
[2023-12-11 16:38:46] Order id: 6	| status: Procesing	|
[2023-12-11 16:38:46] Order id: 2	| status: Completed	|
[2023-12-11 16:38:51] Order id: 7	| status: NotTaken	|
[2023-12-11 16:38:51] Order id: 7	| status: Procesing	|
[2023-12-11 16:38:53] Order id: 3	| status: Completed	|
[2023-12-11 16:38:56] Order id: 8	| status: NotTaken	|
[2023-12-11 16:38:56] Order id: 8	| status: Procesing	|
[2023-12-11 16:39:01] Order id: 9	| status: NotTaken	|
[2023-12-11 16:39:01] Order id: 9	| status: Procesing	|
[2023-12-11 16:39:04] Order id: 4	| status: Completed	|
[2023-12-11 16:39:06] Order id: 10	| status: NotTaken	|
[2023-12-11 16:39:06] Order id: 10	| status: Procesing	|
[2023-12-11 16:39:11] Order id: 11	| status: NotTaken	|
[2023-12-11 16:39:11] Order id: 11	| status: Procesing	|
[2023-12-11 16:39:13] Order id: 5	| status: Completed	|
[2023-12-11 16:39:16] Order id: 12	| status: NotTaken	|
[2023-12-11 16:39:16] Order id: 12	| status: Procesing	|
[2023-12-11 16:39:21] Order id: 13	| status: NotTaken	|
[2023-12-11 16:39:21] Order id: 13	| status: Procesing	|
[2023-12-11 16:39:23] Order id: 6	| status: Completed	|
[2023-12-11 16:39:26] Order id: 14	| status: NotTaken	|
[2023-12-11 16:39:26] Order id: 14	| status: Procesing	|
[2023-12-11 16:39:31] Order id: 15	| status: NotTaken	|
[2023-12-11 16:39:31] Order id: 15	| status: Procesing	|
[2023-12-11 16:52:51] Order id: 1	| status: NotTaken	|
[2023-12-11 16:52:51] Order id: 1	| status: Procesing	|
[2023-12-11 16:52:56] Order id: 2	| status: NotTaken	|
[2023-12-11 16:52:56] Order id: 2	| status: Procesing	|
[2023-12-11 16:53:01] Order id: 3	| status: NotTaken	|
[2023-12-11 16:53:01] Order id: 3	| status: Procesing	|
[2023-12-11 16:53:04] Order id: 1	| status: Completed	|
[2023-12-11 16:53:06] Order id: 4	| status: NotTaken	|
[2023-12-11 16:53:06] Order id: 4	| status: Procesing	|
[2023-12-11 16:53:11] Order id: 5	| status: NotTaken	|
[2023-12-11 16:53:11] Order id: 5	| status: Procesing	|
[2023-12-11 16:53:16] Order id: 6	| status: NotTaken	|
[2023-12-11 16:53:16] Order id: 6	| status: Procesing	|
[2023-12-11 16:53:16] Order id: 2	| status: Completed	|
[2023-12-11 16:53:21] Order id: 7	| status: NotTaken	|
[2023-12-11 16:53:21] Order id: 7	| status: Procesing	|
[2023-12-11 16:53:22] Order id: 3	| status: Completed	|
[2023-12-11 16:53:26] Order id: 8	| status: NotTaken	|
[2023-12-11 16:53:26] Order id: 8	| status: Procesing	|
[2023-12-11 16:53:31] Order id: 9	| status: NotTaken	|
[2023-12-11 16:53:31] Order id: 9	| status: Procesing	|
[2023-12-11 16:53:34] Order id: 4	| status: Completed	|
[2023-12-11 16:53:36] Order id: 10	| status: NotTaken	|
[2023-12-11 16:53:36] Order id: 10	| status: Procesing	|
[2023-12-11 17:01:36] Order id: 1	| status: NotTaken	|
[2023-12-11 17:01:36] Order id: 1	| status: Procesing	|
[2023-12-11 17:01:41] Order id: 2	| status: NotTaken	|
[2023-12-11 17:01:41] Order id: 2	| status: Procesing	|
[2023-12-11 17:01:46] Order id: 3	| status: NotTaken	|
[2023-12-11 17:01:46] Order id: 3	| status: Procesing	|
[2023-12-11 17:01:49] Order id: 1	| status: Completed	|
[2023-12-11 17:01:51] Order id: 4	| status: NotTaken	|
[2023-12-11 17:01:51] Order id: 4	| status: Procesing	|
[2023-12-11 17:01:56] Order id: 5	| status: NotTaken	|
[2023-12-11 17:01:56] Order id: 5	| status: Procesing	|
[2023-12-11 17:02:01] Order id: 6	| status: NotTaken	|
[2023-12-11 17:02:01] Order id: 6	| status: Procesing	|
[2023-12-11 17:02:01] Order id: 2	| status: Completed	|
[2023-12-11 17:02:06] Order id: 7	| status: NotTaken	|
[2023-12-11 17:02:06] Order id: 7	| status: Procesing	|
[2023-12-11 17:02:07] Order id: 3	| status: Completed	|
[2023-12-11 17:02:11] Order id: 8	| status: NotTaken	|
[2023-12-11 17:02:11] Order id: 8	| status: Procesing	|
[2023-12-11 17:02:16] Order id: 9	| status: NotTaken	|
[2023-12-11 17:02:16] Order id: 9	| status: Procesing	|
[2023-12-11 17:02:19] Order id: 4	| status: Completed	|
[2023-12-11 17:02:21] Order id: 10	| status: NotTaken	|
[2023-12-11 17:02:21] Order id: 10	| status: Procesing	|
[2023-12-11 17:02:25] Order id: 5	| status: Completed	|
[2023-12-11 17:02:26] Order id: 11	| status: NotTaken	|
[2023-12-11 17:02:26] Order id: 11	| status: Procesing	|
[2023-12-11 17:02:31] Order id: 12	| status: NotTaken	|
[2023-12-11 17:02:31] Order id: 12	| status: Procesing	|
[2023-12-11 17:02:36] Order id: 13	| status: NotTaken	|
[2023-12-11 17:02:36] Order id: 13	| status: Procesing	|
[2023-12-11 17:02:37] Order id: 6	| status: Completed	|
[2023-12-11 17:02:41] Order id: 14	| status: NotTaken	|
[2023-12-11 17:02:41] Order id: 14	| status: Procesing	|
[2023-12-11 17:02:46] Order id: 15	| status: NotTaken	|
[2023-12-11 17:02:46] Order id: 15	| status: Procesing	|
[2023-12-11 17:02:46] Order id: 7	| status: Completed	|
[2023-12-11 17:02:51] Order id: 16	| status: NotTaken	|
[2023-12-11 17:02:51] Order id: 16	| status: Procesing	|
[2023-12-11 17:02:55] Order id: 8	| status: Completed	|
[2023-12-11 17:02:56] Order id: 17	| status: NotTaken	|
[2023-12-11 17:02:56] Order id: 17	| status: Procesing	|
[2023-12-11 17:03:01] Order id: 18	| status: NotTaken	|
[2023-12-11 17:03:01] Order id: 18	| status: Procesing	|
[2023-12-11 17:03:05] Order id: 9	| status: Completed	|
[2023-12-11 17:03:06] Order id: 19	| status: NotTaken	|
[2023-12-11 17:03:06] Order id: 19	| status: Procesing	|
[2023-12-11 17:07:43] Order id: 1	| status: NotTaken	|
[2023-12-11 17:07:43] Order id: 1	| status: Procesing	|
[2023-12-11 17:07:48] Order id: 2	| status: NotTaken	|
[2023-12-11 17:07:48] Order id: 2	| status: Procesing	|
[2023-12-11 17:07:53] Order id: 3	| status: NotTaken	|
[2023-12-11 17:07:53] Order id: 3	| status: Procesing	|
[2023-12-11 17:07:56] Order id: 1	| status: Completed	|
[2023-12-11 17:07:58] Order id: 4	| status: NotTaken	|
[2023-12-11 17:07:58] Order id: 4	| status: Procesing	|
[2023-12-11 17:08:03] Order id: 5	| status: NotTaken	|
[2023-12-11 17:08:03] Order id: 5	| status: Procesing	|
[2023-12-11 17:08:08] Order id: 6	| status: NotTaken	|
[2023-12-11 17:08:08] Order id: 6	| status: Procesing	|
[2023-12-11 17:08:08] Order id: 2	| status: Completed	|
[2023-12-11 17:08:13] Order id: 7	| status: NotTaken	|
[2023-12-11 17:08:13] Order id: 7	| status: Procesing	|
[2023-12-11 17:08:14] Order id: 3	| status: Completed	|
[2023-12-11 17:08:18] Order id: 8	| status: NotTaken	|
[2023-12-11 17:08:18] Order id: 8	| status: Procesing	|
